"Time","Vm1:Measured voltage","Am1:Measured current"
0.062496999999999997,395.97795898326302,66.711889563012136
0.0624971,396.24894879361892,66.708767403815315
0.062497199999999996,396.51963651609105,66.705639737516478
0.062497299999999999,396.7900223976352,66.702506576572191
0.062497399999999995,397.06010668508469,66.699367933448329
0.062497499999999997,397.32988962515077,66.69622382061884
0.0624976,397.59937146442297,66.693074250564621
0.062497699999999996,397.86855244936896,66.689919235772166
0.062497799999999999,398.13743282633499,66.686758788732334
0.062497899999999995,398.40601284154587,66.683592921939251
0.062497999999999998,398.67429274110521,66.680421647888863
0.062498099999999994,398.94227277099554,66.67724497907794
0.062498199999999997,399.20995317707855,66.674062928002655
0.0624983,399.47733420509502,66.670875507157476
0.062498399999999996,399.74441610066486,66.667682729033842
0.062498499999999998,400.01119910928747,66.664484606119004
0.062498599999999994,400.27768347634156,66.66128115089478
0.062498699999999997,400.54386944708546,66.65807237583634
0.0624988,400.80975726665679,66.654858293410925
0.062498899999999996,401.07534718007281,66.651638916076664
0.062498999999999999,401.34063943223043,66.648414256281399
0.062499099999999995,401.60563426790611,66.64518432646139
0.062499199999999998,401.87033193175586,66.641949139040193
0.062499299999999994,402.13473266831528,66.638708706427309
0.062499399999999997,402.3988367219996,66.635463041017161
0.062499499999999999,402.6626443371033,66.632212155187759
0.062499599999999995,402.92615575780047,66.628956061299462
0.062499699999999998,403.18937122814475,66.625694771693944
0.062499799999999994,403.45229099206892,66.622428298692896
